	Subject	Predicate	Object	Pubmed	Title	Evidence
341	"p(HGNC:39025 ! ""ERVK-18"")"	decreases	p(HGNC:6018 ! IL6)	19853271	A new mouse-adapted strain of {SARS}-{CoV} as a lethal model for evaluating antiviral agents in vitro and in vivo.	Ribavirin, UDA and Ampligen (TM) decreased IL-6 expression.
390	a(TEXT:U274)	increases	"bp(GO:""GO:0006810"" ! transport)"	15194747	A novel severe acute respiratory syndrome coronavirus protein, U274, is transported to the cell surface and undergoes endocytosis.	Deletion of a cytoplasmic domain of U274, which contains Yxxphi and diacidic motifs, abolished its transport to the cell surface.
443	bp(MESH:D007962 ! Leukocytes)	decreases	"a(TEXT:""eosinophil count"")"	32029004	A rapid advice guideline for the diagnosis and treatment of 2019 novel coronavirus (2019-{nCoV}) infected pneumonia (standard version).	Laboratory test : normal white blood cells ( 9.24 x 10 9 / L ) , lymphocytes percentage ( 5.1 % ) , decreased lymphocytes ( 0.47 x 10 9 / L ) , decreased eosinophil count ( 0 x 10 9 / L ) , increased C-reaction protein ( 170.91 mg / L ) , increased procalcitonin ( 0.45 ng / ml ) , increased erythrocyte sedimentation rate ( 48 mm / h ) .
441	bp(MESH:D007962 ! Leukocytes)	decreases	bp(MESH:D008214 ! Lymphocytes)	32029004	A rapid advice guideline for the diagnosis and treatment of 2019 novel coronavirus (2019-{nCoV}) infected pneumonia (standard version).	Laboratory test : decreased total protein ( 54.0 g / L ) , decreased albumin ( 35.5 g / L ) , decreased globulin ( 18.5 g / L ) , normal white blood cells ( 4.87 x 10 9 / L ) , decreased lymphocytes percentage ( 10.1 % ) , decreased lymphocytes ( 0.49 x 10 9 / L ) , decreased eosinophil count ( 0 x 10 9 / L ) ) , decreased eosinophil count percentage ( 0 % ) .
440	bp(MESH:D007962 ! Leukocytes)	decreases	bp(MESH:D008214 ! Lymphocytes)	32029004	A rapid advice guideline for the diagnosis and treatment of 2019 novel coronavirus (2019-{nCoV}) infected pneumonia (standard version).	Laboratory test : normal white blood cells ( 4.6 x 10 9 / L ) , normal neutrophil percentage ( 65.8 % ) , decreased lymphocytes percentage ( 19.9 % ) .
502	bp(MESH:D009504 ! Neutrophils)	decreases	bp(MESH:D008214 ! Lymphocytes)	32029004	A rapid advice guideline for the diagnosis and treatment of 2019 novel coronavirus (2019-{nCoV}) infected pneumonia (standard version).	Laboratory test : normal white blood cells ( 4.6 x 10 9 / L ) , normal neutrophil percentage ( 65.8 % ) , decreased lymphocytes percentage ( 19.9 % ) .
520	bp(MESH:D008214 ! Lymphocytes)	increases	"a(TEXT:""eosinophil count"")"	32029004	A rapid advice guideline for the diagnosis and treatment of 2019 novel coronavirus (2019-{nCoV}) infected pneumonia (standard version).	Laboratory test : normal white blood cells ( 9.24 x 10 9 / L ) , lymphocytes percentage ( 5.1 % ) , decreased lymphocytes ( 0.47 x 10 9 / L ) , decreased eosinophil count ( 0 x 10 9 / L ) , increased C-reaction protein ( 170.91 mg / L ) , increased procalcitonin ( 0.45 ng / ml ) , increased erythrocyte sedimentation rate ( 48 mm / h ) .
521	bp(MESH:D008214 ! Lymphocytes)	increases	"a(TEXT:""eosinophil count"")"	32029004	A rapid advice guideline for the diagnosis and treatment of 2019 novel coronavirus (2019-{nCoV}) infected pneumonia (standard version).	Laboratory test : decreased total protein ( 54.0 g / L ) , decreased albumin ( 35.5 g / L ) , decreased globulin ( 18.5 g / L ) , normal white blood cells ( 4.87 x 10 9 / L ) , decreased lymphocytes percentage ( 10.1 % ) , decreased lymphocytes ( 0.49 x 10 9 / L ) , decreased eosinophil count ( 0 x 10 9 / L ) ) , decreased eosinophil count percentage ( 0 % ) .
522	bp(MESH:D008214 ! Lymphocytes)	decreases	"a(TEXT:""eosinophil count"")"	32029004	A rapid advice guideline for the diagnosis and treatment of 2019 novel coronavirus (2019-{nCoV}) infected pneumonia (standard version).	Laboratory test : normal white blood cells ( 9.24 x 10 9 / L ) , lymphocytes percentage ( 5.1 % ) , decreased lymphocytes ( 0.47 x 10 9 / L ) , decreased eosinophil count ( 0 x 10 9 / L ) , increased C-reaction protein ( 170.91 mg / L ) , increased procalcitonin ( 0.45 ng / ml ) , increased erythrocyte sedimentation rate ( 48 mm / h ) .
439	bp(MESH:D007962 ! Leukocytes)	decreases	bp(MESH:D008214 ! Lymphocytes)	32029004	A rapid advice guideline for the diagnosis and treatment of 2019 novel coronavirus (2019-{nCoV}) infected pneumonia (standard version).	Laboratory test : normal white blood cells ( 3.72 x 10 9 / L ) , decreased lymphocytes ( 0.9 x 10 9 / L ) , decreased eosinophil count ( 0 x 10 9 / L ) , increased C-reaction protein ( 53.0 mg / L ) , increased procalcitonin ( 0.10 ng / ml ) , reduced liver function , hypoproteinemia , and mild anemia .
438	bp(MESH:D007962 ! Leukocytes)	decreases	bp(MESH:D008214 ! Lymphocytes)	32029004	A rapid advice guideline for the diagnosis and treatment of 2019 novel coronavirus (2019-{nCoV}) infected pneumonia (standard version).	Laboratory test : normal white blood cells ( 6.35 x 10 9 / L ) , decreased lymphocytes percentage ( 4.1 % ) , decreased lymphocytes count ( 0.31 x 10 9 / L ) , decreased eosinophil count ( 0 x 10 9 / L ) ) , increased C-reaction protein ( 170.91 mg / L ) , increased procalcitonin ( 0.45 ng / ml ) .
437	bp(MESH:D007962 ! Leukocytes)	increases	bp(MESH:D008214 ! Lymphocytes)	32029004	A rapid advice guideline for the diagnosis and treatment of 2019 novel coronavirus (2019-{nCoV}) infected pneumonia (standard version).	Laboratory test : decreased white blood cells ( 3.01 x 10 9 / L ) , decreased lymphocytes ( 0.81 x 10 9 / L ) , increased C-reaction protein ( 60.8 mg / L ) , increased procalcitonin ( 0.16 ng / ml ) .
442	bp(MESH:D007962 ! Leukocytes)	decreases	bp(MESH:D008214 ! Lymphocytes)	32029004	A rapid advice guideline for the diagnosis and treatment of 2019 novel coronavirus (2019-{nCoV}) infected pneumonia (standard version).	Laboratory test : increased erythrocyte sedimentation rate ( 25 mm / h ) , normal white blood cells ( 4.08 x 10 9 / L ) , decreased lymphocytes ( 0.96 x 10 9 / L ) , increased C-reaction protein ( 60.8 mg / L ) .
444	bp(MESH:D007962 ! Leukocytes)	decreases	"a(TEXT:""eosinophil count"")"	32029004	A rapid advice guideline for the diagnosis and treatment of 2019 novel coronavirus (2019-{nCoV}) infected pneumonia (standard version).	Laboratory test : normal white blood cells ( 3.72 x 10 9 / L ) , decreased lymphocytes ( 0.9 x 10 9 / L ) , decreased eosinophil count ( 0 x 10 9 / L ) , increased C-reaction protein ( 53.0 mg / L ) , increased procalcitonin ( 0.10 ng / ml ) , reduced liver function , hypoproteinemia , and mild anemia .
702	"bp(MESH:D001799 ! ""Blood Sedimentation"")"	decreases	bp(MESH:D008214 ! Lymphocytes)	32029004	A rapid advice guideline for the diagnosis and treatment of 2019 novel coronavirus (2019-{nCoV}) infected pneumonia (standard version).	Laboratory test : increased erythrocyte sedimentation rate ( 25 mm / h ) , normal white blood cells ( 4.08 x 10 9 / L ) , decreased lymphocytes ( 0.96 x 10 9 / L ) , increased C-reaction protein ( 60.8 mg / L ) .
534	a(CHEBI:24261 ! glucocorticoid)	decreases	bp(MESH:D004194 ! Disease)	32029004	A rapid advice guideline for the diagnosis and treatment of 2019 novel coronavirus (2019-{nCoV}) infected pneumonia (standard version).	Appropriate use of glucocorticoids is able to significantly improve the clinical symptoms of patients with SARS , reduce the degree of disease progression , and accelerate the absorption of lung lesions ; but it cannot shorten the length of hospital stay [ 35 , 36 ] .
640	bp(MESH:D011312 ! Pressure)	decreases	bp(MESH:D008046 ! Lip)	32029004	A rapid advice guideline for the diagnosis and treatment of 2019 novel coronavirus (2019-{nCoV}) infected pneumonia (standard version).	At the same time , skincare products need to be used reasonably to avoid damage to the nose , face and lips by pressure .
554	p(HGNC:11876 ! TMPRSS2)	increases	"bp(GO:""GO:0006508"" ! proteolysis)"	21068237	A transmembrane serine protease is linked to the severe acute respiratory syndrome coronavirus receptor and activates virus entry.	Enhanced entry correlated with TMPRSS2 mediated proteolysis of both S and ACE2.
181	p(FPLX:Protease ! Protease)	increases	a(TEXT:entry)	21068237	A transmembrane serine protease is linked to the severe acute respiratory syndrome coronavirus receptor and activates virus entry.	A transmembrane serine protease is linked to the severe acute respiratory syndrome coronavirus receptor and activates virus entry.
197	p(HGNC:13557 ! ACE2)	increases	"bp(MESH:C000656484 ! ""severe acute respiratory syndrome coronavirus 2"")"	32125455	Angiotensin-converting enzyme 2 ({ACE2}) as a {SARS}-{CoV}-2 receptor: molecular mechanisms and potential therapeutic target.	Further analysis even suggested that SARS-CoV-2 recognizes human ACE2 more efficiently than SARS-CoV increasing the ability of SARS-CoV-2 to transmit from person to person [XREF_BIBR].
673	a(TEXT:APN01)	decreases	p(HGNC:333 ! AGT)	32125455	Angiotensin-converting enzyme 2 ({ACE2}) as a {SARS}-{CoV}-2 receptor: molecular mechanisms and potential therapeutic target.	The administration of APN01 rapidly decreased levels of its proteolytic target peptide angiotensin II, with a trend to lower plasma IL-6 concentrations.
401	"bp(MESH:D045473 ! ""SARS Virus"")"	decreases	p(HGNC:2707 ! ACE)	32125455	Angiotensin-converting enzyme 2 ({ACE2}) as a {SARS}-{CoV}-2 receptor: molecular mechanisms and potential therapeutic target.	Kuba et al. [ 10 ] demonstrated in mice that SARS-CoV downregulates ACE2 protein ( but not ACE ) by binding its spike protein , contributing to severe lung injury .
195	p(HGNC:13557 ! ACE2)	decreases	p(HGNC:333 ! AGT)	16001071	Angiotensin-converting enzyme 2 protects from severe acute lung failure.	ACE cleaves angiotensin I to generate angiotensin II, whereas ACE2 inactivates angiotensin II and is a negative regulator of the system.
196	p(HGNC:13557 ! ACE2)	decreases	p(HGNC:333 ! AGT)	16001071	Angiotensin-converting enzyme 2 protects from severe acute lung failure.	ACE cleaves angiotensin I to generate angiotensin II, whereas ACE2 inactivates angiotensin II and is a negative regulator of the system.
636	p(HGNC:7841 ! NM)	increases	"bp(GO:""GO:0005488"" ! binding)"	21918681	Annexin A2 binds {RNA} and reduces the frameshifting efficiency of infectious bronchitis virus.	Ultraviolet radiation ( 365 nm ) was performed to induce binding between 4-thio UTP and interacting proteins .
625	p(HGNC:537 ! ANXA2)	decreases	"a(TEXT:""IBV pseudoknot RNA"")"	21918681	Annexin A2 binds {RNA} and reduces the frameshifting efficiency of infectious bronchitis virus.	As shown in XREF_FIG, knockdown of ANXA2 increased the frameshifting efficiency up to seven times, whereas overexpression of ANXA2 significantly down-regulated the frameshifting efficiency of IBV pseudoknot RNA.
624	p(HGNC:537 ! ANXA2)	increases	"a(TEXT:""IBV pseudoknot RNA"")"	21918681	Annexin A2 binds {RNA} and reduces the frameshifting efficiency of infectious bronchitis virus.	Conversely, we showed that the downregulation of the ANXA2 by three independent knockdown greatly increased the relative frameshifting efficiency of IBV pseudoknot RNA in HEK293T cells (XREF_FIG).
311	bp(MESH:D002685 ! Chiroptera)	increases	"bp(MESH:D065207 ! ""Middle East Respiratory Syndrome Coronavirus"")"	31169078	Antibodies and vaccines against Middle East respiratory syndrome coronavirus.	Furthermore , current evidence strongly suggests that bats are the original source for MERS-CoV , as many coronaviruses phylogenetically related to MERS-CoV originate in bats , including BatCoV-HKU4 , BatCoV-HKU5 and other MERS-related coronaviruses [ 12 ] [ 13 ] [ 14 ] [ 15 ] .
668	p(UP:P42543 ! P42543)	increases	p(HGNC:791 ! ATF6)	30310104	Attenuation of replication by a 29 nucleotide deletion in {SARS}-coronavirus acquired during the early stages of human-to-human transmission.	Another study found that the full 122 amino acid protein encoded by ORF8 induces ATF6 dependent transcription, which triggers the expression of chaperones and leads to a general attenuation of the protein translation level, thus modifying the unfolded protein response 20.
299	"bp(GO:""GO:0008152"" ! ""metabolic process"")"	increases	"bp(GO:""GO:0006955"" ! ""immune response"")"	24750692	Bat flight and zoonotic viruses.	Thus , we hypothesize that the higher metabolic rates during flight in bats may enhance , facilitate , or perhaps subsidize any inherent cost of raising metabolism to activate an immune response .
332	p(UP:P0C6Y2 ! P0C6Y2)	increases	"a(TEXT:""S-nsp13"")"	27631026	Biochemical characterization of middle east respiratory syndrome coronavirus helicase.	Previously, biochemical characterization of severe acute respiratory syndrome CoV (SARS-CoV) helicase (S-nsp13) demonstrated that S-nsp13 can unwind both double stranded DNA and RNA in a 5 '-to-3 ' direction, and it can hydrolyze all deoxyribonucleotide triphosphates (dNTPs) and ribonucleotide triphosphates, Additional study also showed that nsp12, the SARS-CoV RdRp, enhances the catalytic efficiency of S-nsp13 by increasing the step size of nucleic acid (RNA and RNA or DNA and DNA) unwinding by 2-fold.
54	"bp(GO:""GO:0003968"" ! ""RNA-directed 5'-3' RNA polymerase activity"")"	increases	"a(TEXT:""S-nsp13"")"	27631026	Biochemical characterization of middle east respiratory syndrome coronavirus helicase.	Previously, biochemical characterization of severe acute respiratory syndrome CoV (SARS-CoV) helicase (S-nsp13) demonstrated that S-nsp13 can unwind both double stranded DNA and RNA in a 5 '-to-3 ' direction, and it can hydrolyze all deoxyribonucleotide triphosphates (dNTPs) and ribonucleotide triphosphates, Additional study also showed that nsp12, the SARS-CoV RdRp, enhances the catalytic efficiency of S-nsp13 by increasing the step size of nucleic acid (RNA and RNA or DNA and DNA) unwinding by 2-fold.
7	"bp(MESH:D028941 ! ""Coronavirus 229E, Human"")"	increases	p(HGNC:2303 ! CPE)	31233808	Broad spectrum antiviral remdesivir inhibits human endemic and zoonotic deltacoronaviruses with a highly divergent {RNA} dependent {RNA} polymerase.	Unlike HCoV-OC43, HCoV-229E infection of Huh7 causes CPE.
688	a(TEXT:RDV)	decreases	a(TEXT:OC43)	31233808	Broad spectrum antiviral remdesivir inhibits human endemic and zoonotic deltacoronaviruses with a highly divergent {RNA} dependent {RNA} polymerase.	We show that RDV inhibits endemic human CoVs 229E and OC43 as well as a member of the deltacoronavirus genus, PDCoV, which have the most divergent RdRp of known CoV as compared to SARS- and MERS-CoV.
409	a(CHEBI:145994 ! remdesivir)	decreases	"a(TEXT:""SARS-CoV-like group 2b"")"	28659436	Broad-spectrum antiviral {GS}-5734 inhibits both epidemic and zoonotic coronaviruses.	Likewise, GS-5734 treatment inhibited replication of very diverse SARS-CoV-like group 2b (HKU3, WIV1 and SHC014) and MERS-CoV-like group 2c (HKU5) bat coronaviruses.
408	a(CHEBI:145994 ! remdesivir)	decreases	"a(TEXT:""MERS-CoV-like group"")"	28659436	Broad-spectrum antiviral {GS}-5734 inhibits both epidemic and zoonotic coronaviruses.	Likewise, GS-5734 treatment inhibited replication of very diverse SARS-CoV-like group 2b (HKU3, WIV1 and SHC014) and MERS-CoV-like group 2c (HKU5) bat coronaviruses.
407	a(CHEBI:145994 ! remdesivir)	decreases	a(TEXT:HKU3)	28659436	Broad-spectrum antiviral {GS}-5734 inhibits both epidemic and zoonotic coronaviruses.	Likewise, GS-5734 treatment inhibited replication of very diverse SARS-CoV-like group 2b (HKU3, WIV1 and SHC014) and MERS-CoV-like group 2c (HKU5) bat coronaviruses.
503	a(CHEBI:15738 ! staurosporine)	increases	"bp(GO:""GO:0006351"" ! ""transcription, DNA-templated"")"	28659436	Broad-spectrum antiviral {GS}-5734 inhibits both epidemic and zoonotic coronaviruses.	Unlike the positive control drug, staurosporine, which uniformly upregulated transcription of all apoptosis factors measured, we did not observe a dose dependent effect with GS-5734 treatment at concentrations that inhibit CoV replication.
379	p(HGNC:1681 ! CD44)	increases	"bp(GO:""GO:0005623"" ! cell)"	31636628	Common Nodes of Virus-Host Interaction Revealed Through an Integrated Network Analysis.	CD44 is a marker of exhausted CD8 + T cells ( 59 ) and replication of HCV in T cells was shown to decrease cell proliferation by inhibiting CD44 expression and signaling ( 60 ) .
4	p(HGNC:5434 ! IFNB1)	decreases	"bp(MESH:D001835 ! ""Body Weight"")"	31924756	Comparative therapeutic efficacy of remdesivir and combination lopinavir, ritonavir, and interferon beta against {MERS}-{CoV}.	Unlike RDV-treated mice ( Fig. 4a ) , vehicle , LPV / RTV-IFNb , or IFNb alone did not prevent weight loss ( Fig. 4b ) .
330	a(TEXT:EF50)	decreases	a(TEXT:RPEF)	30301856	Complement activation contributes to severe acute respiratory syndrome coronavirus pathogenesis.	All three metrics have been shown to change significantly following SARS-CoV MA15 infection, with Penh and EF50 increasing following infection and RPEF decreasing.
513	"bp(GO:""GO:0038023"" ! ""signaling receptor activity"")"	decreases	"bp(GO:""GO:0006954"" ! ""inflammatory response"")"	30301856	Complement activation contributes to severe acute respiratory syndrome coronavirus pathogenesis.	Despite these differences, it is notable that MERS-CoV and H5N1 influenza virus induced acute lung injury and pulmonary inflammation are reduced in mice that are treated with either a C3a receptor (C3aR) antagonist or antibodies to C5a.
679	p(UP:E3VWK0 ! E3VWK0)	decreases	a(TEXT:RPEF)	30301856	Complement activation contributes to severe acute respiratory syndrome coronavirus pathogenesis.	All three metrics have been shown to change significantly following SARS-CoV MA15 infection, with Penh and EF50 increasing following infection and RPEF decreasing.
601	"bp(MESH:D065207 ! ""Middle East Respiratory Syndrome Coronavirus"")"	increases	bp(MESH:D004194 ! Disease)	30301856	Complement activation contributes to severe acute respiratory syndrome coronavirus pathogenesis.	Both SARS-CoV and MERS-CoV cause a range of disease from asymptomatic cases to severe acute respiratory distress syndrome ( ARDS ) and respiratory failure ( 5 ) .
398	"bp(MESH:D045473 ! ""SARS Virus"")"	increases	bp(MESH:D004194 ! Disease)	30301856	Complement activation contributes to severe acute respiratory syndrome coronavirus pathogenesis.	Both SARS-CoV and MERS-CoV cause a range of disease from asymptomatic cases to severe acute respiratory distress syndrome ( ARDS ) and respiratory failure ( 5 ) .
498	bp(MESH:D007239 ! Infection)	decreases	"bp(MESH:D015431 ! ""Weight Loss"")"	30301856	Complement activation contributes to severe acute respiratory syndrome coronavirus pathogenesis.	IL-1  and TNF -  are also more abundant in the lungs of C57BL / 6J mice , suggesting that wild-type but not C3 - / mice develop a fever response to infection that contributes to weight loss and respiratory dysfunction phenotypes .
333	p(UP:P0C6Y2 ! P0C6Y2)	increases	p(PFAM:PF02689 ! helicase)	26958916	Continuous and discontinuous {RNA} synthesis in coronaviruses.	Interestingly, the helicase activity of nsp13 is enhanced 2-fold by nsp12 through direct protein protein interaction, suggesting that interaction of these proteins in a functional RTC improves the efficiency of viral RNA synthesis.
683	"a(TEXT:""BtCoV-HKU5"")"	decreases	p(FPLX:NFkappaB ! NFkappaB)	26958916	Continuous and discontinuous {RNA} synthesis in coronaviruses.	Similarly, the 4b proteins of MERS-CoV, bat coronavirus (BtCoV)-HKU4, and BtCoV-HKU5 also localize to the nucleus and inhibit type 1 IFN induction and, less efficiently, NF-kappaB signaling pathways.
349	p(HGNC:16885 ! SH2D3A)	decreases	"a(TEXT:""JAK-STAT"")"	26958916	Continuous and discontinuous {RNA} synthesis in coronaviruses.	The nsp1beta subunit of nsp1 suppresses the JAK-STAT pathway and also interacts with protein inhibitor of activated STAT1 (PIAS1).
682	"a(TEXT:""BtCoV-HKU5"")"	decreases	p(FPLX:Interferon ! Interferon)	26958916	Continuous and discontinuous {RNA} synthesis in coronaviruses.	Similarly, the 4b proteins of MERS-CoV, bat coronavirus (BtCoV)-HKU4, and BtCoV-HKU5 also localize to the nucleus and inhibit type 1 IFN induction and, less efficiently, NF-kappaB signaling pathways.
305	p(FPLX:Proteasome ! Proteasome)	increases	p(HGNC:9570 ! PSME3)	26958916	Continuous and discontinuous {RNA} synthesis in coronaviruses.	Similarly, in infections by other RNA viruses, several nuclear proteins (La, Sam68, PTB, proteasome activator PA28gamma, and nucleolin) also relocalized to the cytoplasm and were involved in virus replication.
300	p(FPLX:GSK3 ! GSK3)	increases	p(UP:P0C796 ! P0C796, pmod(Ph))	26958916	Continuous and discontinuous {RNA} synthesis in coronaviruses.	Interestingly, DDX1 recruitment requires N protein phosphorylation by cellular GSK3 kinase ( xref ).
681	"a(TEXT:""4b proteins"")"	decreases	p(FPLX:NFkappaB ! NFkappaB)	26958916	Continuous and discontinuous {RNA} synthesis in coronaviruses.	Similarly, the 4b proteins of MERS-CoV, bat coronavirus (BtCoV)-HKU4, and BtCoV-HKU5 also localize to the nucleus and inhibit type 1 IFN induction and, less efficiently, NF-kappaB signaling pathways.
350	p(HGNC:16885 ! SH2D3A)	decreases	"bp(GO:""GO:0006412"" ! translation)"	26958916	Continuous and discontinuous {RNA} synthesis in coronaviruses.	Due to its binding to the 40S ribosomal subunit, nsp1 inhibits cellular mRNA translation in some cases (HCoV-229E and HCoV-NL63) but not in others (TGEV) ( xref , xref ).
359	"a(TEXT:""PRRSV N protein"")"	increases	p(FPLX:NFkappaB ! NFkappaB)	26958916	Continuous and discontinuous {RNA} synthesis in coronaviruses.	PRRSV N protein also activates the NF-kappaB pathway and enhances its nuclear localization.
360	"a(TEXT:""PRRSV N protein"")"	increases	"bp(GO:""GO:0051179"" ! localization)"	26958916	Continuous and discontinuous {RNA} synthesis in coronaviruses.	PRRSV N protein also activates the NF-kappaB pathway and enhances its nuclear localization.
690	"a(TEXT:""nsp1beta subunit"")"	decreases	"a(TEXT:""JAK-STAT"")"	26958916	Continuous and discontinuous {RNA} synthesis in coronaviruses.	The nsp1beta subunit of nsp1 suppresses the JAK-STAT pathway and also interacts with protein inhibitor of activated STAT1 (PIAS1).
611	p(HGNC:9570 ! PSME3)	increases	p(FPLX:Proteasome ! Proteasome)	26958916	Continuous and discontinuous {RNA} synthesis in coronaviruses.	Similarly, in infections by other RNA viruses, several nuclear proteins (La, Sam68, PTB, proteasome activator PA28gamma, and nucleolin) also relocalized to the cytoplasm and were involved in virus replication.
351	p(HGNC:16885 ! SH2D3A)	decreases	"bp(GO:""GO:0006412"" ! translation)"	26958916	Continuous and discontinuous {RNA} synthesis in coronaviruses.	Due to its binding to the 40S ribosomal subunit, nsp1 inhibits cellular mRNA translation in some cases (HCoV-229E and HCoV-NL63) but not in others (TGEV).
52	a(TEXT:3BNC117)	increases	"bp(GO:""GO:0006955"" ! ""immune response"")"	32113510	Convalescent plasma as a potential therapy for {COVID}-19.	Schoofs and colleagues reported that 3BNC117 mediated immunotherapy, which is a broad neutralising antibody to HIV-1, enhances host humoral immunity to HIV-1.
567	"a(CHEBI:60783 ! ""nucleoside analogue"")"	decreases	a(TEXT:exon)	29511076	Coronavirus Susceptibility to the Antiviral Remdesivir ({GS}-5734) Is Mediated by the Viral Polymerase and the Proofreading Exoribonuclease.	These results suggest that to effectively inhibit CoVs , nucleoside analogues would need to inhibit ExoN directly , be incorporated so efficiently that the 5 = -3 = elongation reaction is much faster than the ExoN cleavage reaction , or not be recognized for ExoN-mediated removal .
405	a(CHEBI:145994 ! remdesivir)	increases	"bp(GO:""GO:0003968"" ! ""RNA-directed 5'-3' RNA polymerase activity"")"	29511076	Coronavirus Susceptibility to the Antiviral Remdesivir ({GS}-5734) Is Mediated by the Viral Polymerase and the Proofreading Exoribonuclease.	Together, these results are consistent with a mechanism of action of GS-5734 primarily targeting RdRp mediated RNA synthesis.
53	"bp(GO:""GO:0003968"" ! ""RNA-directed 5'-3' RNA polymerase activity"")"	increases	"a(TEXT:""CoV fidelity"")"	29511076	Coronavirus Susceptibility to the Antiviral Remdesivir ({GS}-5734) Is Mediated by the Viral Polymerase and the Proofreading Exoribonuclease.	In a previous study, using homology modeling of the CoV RdRp based on the coxsackievirus B3 RdRp structure, we predicted and confirmed that a V553I substitution in the MHV RdRp increases CoV fidelity in ExoN (-) viruses, suggesting that viral replication fidelity modulation may also impact susceptibility to GS-5734.
695	"a(CHEBI:147281 ! ""GS-441524"")"	decreases	"a(TEXT:""model beta-2a CoV"")"	29511076	Coronavirus Susceptibility to the Antiviral Remdesivir ({GS}-5734) Is Mediated by the Viral Polymerase and the Proofreading Exoribonuclease.	To determine if GS-441524 inhibited the model beta-2a CoV, murine hepatitis virus (MHV), we infected delayed brain tumor (DBT) cells with MHV and treated them with increasing concentrations of drug.
515	bp(MESH:D013812 ! Therapeutics)	decreases	"bp(MESH:D012367 ! ""RNA, Viral"")"	29511076	Coronavirus Susceptibility to the Antiviral Remdesivir ({GS}-5734) Is Mediated by the Viral Polymerase and the Proofreading Exoribonuclease.	Treatment with increasing concentrations of GS-5734 resulted in decreased viral RNA levels that correlated with the decrease in titer we observed ( Fig. 3B ) .
229	bp(MESH:D014780 ! Viruses)	increases	"bp(MESH:D007473 ! ""Ion Channels"")"	31133031	Coronavirus envelope protein: current knowledge.	Interestingly , despite attempts to inhibit ion channel activity in SARS-CoV E , by mutating N15A and V25F , viruses restored ion channel activity by incorporating additional mutations after several passages .
510	"a(CHEBI:16015 ! ""L-glutamic acid"")"	increases	p(HGNC:30666 ! VHLL)	31133031	Coronavirus envelope protein: current knowledge.	It has been shown that M and E are sufficient to drive VLP formation in many CoVs and that its production is further enhanced by the co-expression of N [ 42 , 60 , 63 , 64 , 141 ] .
